Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FMAR,171,0,0.00,0,0.00,32.52,171,0
FFSG,170,0,0.00,0,0.00,31.74,170,0
LKOR,169,0,0.00,0,0.00,42.30,169,0
PBEE,159,0,0.00,0,0.00,22.72,159,0
WBAT,155,0,0.00,0,0.00,35.50,155,0
DALT,146,0,0.00,0,0.00,8.57,146,0
SANE,146,0,0.00,0,0.00,24.40,146,0
BLKC,139,0,0.00,0,0.00,10.60,139,0
NUDV,128,0,0.00,0,0.00,24.30,128,0
WUGI,127,0,0.00,0,0.00,36.01,127,0
WDNA,123,0,0.00,0,0.00,17.33,123,0
HAUS,114,0,0.00,0,0.00,16.39,114,0
BUFB,112,0,0.00,0,0.00,24.03,112,0
RESD,111,0,0.00,0,0.00,26.87,111,0
IDHD,109,0,0.00,0,0.00,23.98,109,0
HIDE,107,0,0.00,0,0.00,23.38,107,0
IVDG,107,0,0.00,0,0.00,10.17,107,0
QLC,104,0,0.00,0,0.00,44.62,104,0
YPS,104,0,0.00,0,0.00,21.96,104,0
KWT,103,0,0.00,0,0.00,33.08,103,0
MOTE,102,0,0.00,0,0.00,23.26,102,0
PSMC,102,0,0.00,0,0.00,12.10,102,0
QPFF,102,0,0.00,0,0.00,36.02,2,100
HYBL,101,0,0.00,0,0.00,27.48,101,0
RSEE,101,0,0.00,0,0.00,24.85,101,0
DWAT,100,0,0.00,0,0.00,10.26,100,0
ENAV,100,0,0.00,0,0.00,25.04,100,0
ESCR,100,0,0.00,0,0.00,18.00,100,0
MRGR,100,0,0.00,0,0.00,38.34,100,0
RODE,100,0,0.00,0,0.00,25.02,100,0
SEIM,100,0,0.00,0,0.00,25.24,100,0
UOCT,100,0,0.00,0,0.00,28.05,100,0
XUSP,100,0,0.00,0,0.00,25.48,100,0
YSEP,100,0,0.00,0,0.00,18.97,100,0
RYSE,91,0,0.00,0,0.00,27.84,91,0
MAAX,90,0,0.00,0,0.00,20.74,90,0
EAOA,83,0,0.00,0,0.00,28.94,83,0
HFGO,81,0,0.00,0,0.00,12.95,81,0
PBUS,80,0,0.00,0,0.00,39.86,80,0
GAA,76,0,0.00,0,0.00,27.34,76,0
ESG,73,0,0.00,0,0.00,96.38,73,0
CSM,71,0,0.00,0,0.00,47.56,71,0
EFNL,67,0,0.00,0,0.00,38.45,67,0
DBOC,64,0,0.00,0,0.00,28.93,64,0
APRZ,62,0,0.00,0,0.00,26.26,62,0
QTJL,60,0,0.00,0,0.00,21.86,60,0
